"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"County","7-17","18-23","24-35","36-47","48-59","60+","Total","births","birth"
"Coast","7.1","10.9","33.5","17.2","10.7","20.6","100.0","1,516","35.2"
"Mombasa","6.5","5.9","27.1","14.9","14.4","31.2","100.0","354","41.6"
"Kwale","5.6","16.3","32.2","18.2","9.2","18.4","100.0","331","34.4"
"Kilifi","8.5","11.1","37.7","17.1","9.0","16.6","100.0","548","33.4"
"Tana River","8.4","12.0","37.1","23.0","10.4","9.2","100.0","145","33.4"
"Lamu","9.9","14.0","34.0","17.2","11.4","13.5","100.0","47","32.1"
"Taita Taveta","2.4","6.6","30.8","14.1","12.1","34.0","100.0","91","43.0"
"North Eastern","15.3","18.9","37.5","16.9","5.6","5.8","100.0","574","27.7"
"Garissa","15.0","21.8","39.7","12.8","4.0","6.8","100.0","207","26.9"
"Wajir","15.4","19.2","38.3","19.8","3.4","3.8","100.0","230","27.5"
"Mandera","15.4","13.9","33.0","18.3","11.7","7.7","100.0","138","31.1"
"Eastern","4.1","8.2","31.0","18.8","11.2","26.8","100.0","1,680","39.8"
"Marsabit","2.9","13.0","37.6","22.1","12.5","11.9","100.0","73","34.9"
"Isiolo","10.9","10.0","35.3","18.0","12.1","13.7","100.0","70","34.0"
"Meru","1.6","5.2","23.1","16.2","10.8","43.1","100.0","348","50.5"
"Tharaka-Nithi","1.9","6.3","21.2","14.3","15.4","41.0","100.0","107","50.8"
"Embu","5.4","10.1","19.0","21.2","10.6","33.7","100.0","130","43.9"
"Kitui","5.2","10.6","44.1","21.0","5.7","13.4","100.0","342","32.9"
"Machakos","5.2","6.8","26.9","19.2","15.2","26.8","100.0","343","40.4"
"Makueni","3.5","8.7","36.6","18.9","11.4","20.9","100.0","266","37.0"
"Central","3.6","6.9","17.5","15.3","14.6","42.1","100.0","1,216","53.9"
"Nyandarua","3.7","6.9","21.8","20.6","17.3","29.6","100.0","189","46.2"
"Nyeri","2.4","6.7","16.0","12.3","17.2","45.5","100.0","157","56.6"
"Kirinyaga","1.9","3.3","15.7","14.3","10.2","54.5","100.0","130","65.4"
"Murang’a","2.2","5.5","18.6","20.9","12.0","40.7","100.0","227","49.8"
"Kiambu","5.1","8.4","16.3","11.9","15.2","43.2","100.0","512","54.7"
"Rift Valley","6.0","12.0","35.4","18.0","11.3","17.2","100.0","4,255","34.4"
"Turkana","8.6","8.6","41.8","19.3","8.9","12.9","100.0","278","32.4"
"West Pokot","5.0","20.6","46.6","12.9","6.9","8.0","100.0","255","29.7"
"Samburu","4.4","13.7","37.4","23.7","10.0","10.8","100.0","95","33.6"
"Trans-Nzoia","5.6","7.0","39.2","15.8","13.2","19.2","100.0","381","35.5"
"Uasin Gishu","4.5","9.8","26.4","23.0","12.9","23.3","100.0","332","40.7"
"Elgeyo Marakwet","5.6","12.8","39.5","16.6","9.9","15.6","100.0","129","32.4"
"Nandi","6.8","11.3","26.7","20.1","13.4","21.6","100.0","301","38.9"
"Baringo","7.9","18.0","37.3","13.7","12.0","11.2","100.0","190","30.6"
"Laikipia","1.9","8.1","28.0","23.0","15.7","23.3","100.0","155","40.7"
"Nakuru","4.5","12.9","30.7","18.1","13.2","20.6","100.0","665","37.2"
"Narok","6.1","16.7","46.2","14.7","6.6","9.5","100.0","499","29.9"
"Kajiado","10.1","11.6","31.2","18.8","8.9","19.4","100.0","322","35.4"
"Kericho","5.0","8.3","29.4","17.6","15.3","24.4","100.0","268","41.0"
"Bomet","7.0","9.8","36.2","19.7","12.0","15.4","100.0","385","34.3"
"Western","6.6","13.7","33.8","17.8","13.8","14.3","100.0","1,780","34.3"
"Kakamega","6.1","14.3","33.3","17.0","13.8","15.4","100.0","582","34.5"
"Vihiga","9.1","9.5","31.1","14.6","14.0","21.7","100.0","179","36.1"
"Bungoma","6.4","15.4","32.0","19.0","15.3","11.9","100.0","703","34.6"
"Busia","6.7","11.3","40.3","18.5","10.1","13.0","100.0","317","32.7"
"Nyanza","7.6","12.7","32.8","17.9","11.1","17.9","100.0","2,184","34.5"
"Siaya","7.7","14.4","32.7","19.3","10.3","15.5","100.0","311","33.9"
"Kisumu","8.8","7.9","31.0","18.0","13.2","21.1","100.0","379","36.8"
"Homa Bay","7.4","13.0","34.1","18.3","10.0","17.2","100.0","527","33.8"
"Migori","8.1","16.8","40.0","16.8","7.9","10.5","100.0","471","30.1"
"Kisii","6.3","11.8","25.7","16.2","15.1","24.9","100.0","349","38.8"
"Nyamira","6.5","9.6","26.1","20.8","12.7","24.3","100.0","148","39.5"
"Nairobi","6.9","9.3","21.4","16.7","11.8","33.9","100.0","1,182","43.7"
"Total","6.5","11.4","31.5","17.6","11.6","21.4","100.0","14,388","36.3"
