"V1","V2","V3","V4","V5","V6","V7","V8"
"Table 5.3.2 Trends in age-specific and total fertility rates",NA,NA,NA,NA,NA,NA,NA
"Age specific and total fertility rates (TFR) for the 3-year period before several surveys, according to mother’s age at the time of the birth, Kenya DHS 2022",NA,NA,NA,NA,NA,NA,NA
"Mother’s age at birth","KDHS 1989","KDHS 1993","KDHS 1998","KDHS 2003","KDHS 2008–09","KDHS 2014","KDHS 2022"
"10–14","[2]","[3]","[3]","[3]","[2]","[2]","[2]"
"15–19","153","110","111","114","103","96","73"
"20–24","324","257","248","243","238","206","179"
"25–29","301","241","218","231","216","183","172"
"30–34","243","197","188","196","175","148","137"
"35–39","184","154","109","123","118","100","87"
"40–44","99","70","51","55","50","38","35"
"45–49","[29]","[50]","[16]","[15]","[12]","[9]","[5]"
"TFR (15–49)","6.7","5.4","4.7","4.9","4.6","3.9","3.4"
"Note: Age-specific fertility rates are per 1,000 women. Estimates in brackets are truncated. For the 0–4 year period, rates for the 10–14 age group are based on retrospective data from women age 15–19.",NA,NA,NA,NA,NA,NA,NA
