"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Table 5.4 Children ever born and living",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Percent distribution of all women and currently married women age 15–49 by number of children ever born, mean number of children ever born, and mean number of living children, according to age group, Kenya DHS 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","Number of children ever born","","","","","","Number of women","Mean number of children ever born","Mean number of living children",NA,NA,NA
"Age","0","1","2","3","4","5","6","7","8","9","10+","Total","","",""
"ALL WOMEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15–19","87.8","10.8","1.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","6,025","0.14","0.13"
"20–24","43.8","34.9","16.0","4.1","0.9","0.2","0.1","0.0","0.0","0.0","0.0","100.0","6,001","0.84","0.81"
"25–29","12.7","29.3","28.0","17.0","8.2","3.3","0.9","0.6","0.1","0.0","0.0","100.0","5,687","1.96","1.87"
"30–34","4.9","12.8","26.3","24.4","14.5","8.7","4.7","2.2","0.9","0.3","0.3","100.0","4,530","2.97","2.83"
"35–39","1.9","6.5","19.7","24.3","18.4","12.4","7.5","5.0","2.2","1.3","0.8","100.0","4,311","3.72","3.52"
"40–44","1.7","5.2","15.4","21.9","18.3","13.8","8.8","6.1","3.9","2.7","2.3","100.0","3,084","4.18","3.92"
"45–49","1.6","5.3","13.5","19.2","16.0","12.1","11.1","8.0","5.2","4.0","4.1","100.0","2,518","4.59","4.20"
"Total","28.1","17.3","17.1","14.1","9.1","5.8","3.5","2.3","1.2","0.8","0.7","100.0","32,156","2.21","2.08"
"CURRENTLY MARRIED WOMEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15–19","29.9","56.0","13.0","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","456","0.85","0.83"
"20–24","15.6","44.9","28.7","8.3","1.8","0.5","0.1","0.0","0.0","0.0","0.0","100.0","2,635","1.38","1.33"
"25–29","5.6","26.4","31.6","20.2","10.2","4.0","1.1","0.8","0.2","0.0","0.0","100.0","4,055","2.24","2.15"
"30–34","2.9","8.4","25.6","27.2","16.2","9.6","5.6","2.7","1.1","0.3","0.3","100.0","3,460","3.21","3.07"
"35–39","1.1","3.5","16.1","26.5","20.0","13.3","8.5","5.8","2.6","1.6","1.1","100.0","3,234","3.99","3.79"
"40–44","0.9","3.2","12.2","21.6","19.7","14.9","9.7","7.2","4.5","3.1","2.9","100.0","2,246","4.49","4.22"
"45–49","0.9","3.3","10.9","19.0","17.4","12.2","12.1","9.1","5.8","4.4","4.9","100.0","1,735","4.89","4.49"
"Total","5.3","17.1","22.3","20.5","13.6","8.3","5.3","3.5","1.9","1.2","1.1","100.0","17,822","3.13","2.96"
