"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Table 5.8 Age at first menstruation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Percent distribution of women age 15–49 by age at menarche and mean age at menarche, according to current age, Kenya DHS 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","Age at menarche","","","Don’t know","Percent- age who have never menstru- ated","","Number of women","Mean age at menarche",NA,NA
"Current age","≤10","11","12","13","14","15","≥16","","","Total","",""
"Age","","","","","","","","","","","",""
"15–19","1.1","1.1","10.1","19.4","31.8","21.2","12.6","0.1","2.6","100.0","3,125","14.0"
"20–24","1.0","1.5","8.8","17.7","22.3","23.7","24.4","0.6","0.1","100.0","3,063","14.4"
"25–29","0.9","1.6","9.3","18.1","21.8","22.6","24.8","0.8","0.0","100.0","2,916","14.5"
"30–34","1.0","1.5","10.1","15.7","22.6","21.6","25.2","2.2","0.1","100.0","2,364","14.5"
"35–39","0.8","0.5","8.4","18.4","21.2","23.2","24.7","2.6","0.0","100.0","2,288","14.6"
"40–44","0.7","0.5","8.2","15.6","20.6","23.6","29.7","1.1","0.1","100.0","1,615","14.7"
"45–49","1.0","1.1","7.0","14.6","19.1","25.0","29.0","2.9","0.2","100.0","1,346","14.8"
"Total","0.9","1.2","9.1","17.5","23.5","22.8","23.3","1.3","0.6","100.0","16,716","14.5"
