"V1","V2","V3"
"Table 5.11 Median age at first birth",NA,NA
"Median age at first live birth among women age 20–49 and age 25–49, according to background characteristics, Kenya DHS 2022",NA,NA
"Background characteristic","Women age",NA
"","20–49","25–49"
"Residence","",""
"Urban","a","22.0"
"Rural","a","19.9"
"Education1","",""
"No education","19.1","19.0"
"Primary","18.9","19.0"
"Secondary","a","21.3"
"More than secondary","a","24.8"
"Wealth quintile","",""
"Lowest","19.2","19.1"
"Second","19.5","19.3"
"Middle","a","20.1"
"Fourth","a","21.3"
"Highest","a","23.0"
"Total","a","20.7"
"a = Omitted because fewer than 50% of the women had a birth before reaching the beginning of the age group1 No education includes informal education (Madrassa/Duksi/adult education), and more than secondary includes middle-level colleges and universities. Secondary includes individuals who reported vocational training as the highest education level attended.",NA,NA
