"V1","V2","V3","V4","V5","V6"
"Table 5.12 Teenage pregnancy",NA,NA,NA,NA,NA
"Percentage of women age 15–19 who have ever had a live birth, percentage who have ever had a pregnancy loss, percentage who are currently pregnant, and percentage who have ever been pregnant, according to background characteristics, Kenya DHS 2022",NA,NA,NA,NA,NA
"Percentage of women age 15–19 who:",NA,NA,NA,NA,NA
"Background characteristic","Have ever had a live birth","Have ever had a pregnancy loss1","Are currently pregnant","Have ever been pregnant","Number of women"
"Age","","","","",""
"15","2.1","0.0","0.8","2.7","1,163"
"16","4.2","0.3","1.2","5.5","1,197"
"17","10.0","1.2","2.4","12.8","1,203"
"18","16.4","1.1","5.3","20.9","1,195"
"19","27.4","1.6","5.0","31.1","1,266"
"Residence","","","","",""
"Urban","9.7","0.7","2.9","12.1","1,783"
"Rural","13.3","0.9","3.0","16.0","4,242"
"Education2","","","","",""
"No education","30.8","3.9","9.6","37.8","134"
"Primary","16.3","1.4","4.4","19.8","1,907"
"Secondary","9.9","0.5","2.1","12.0","3,791"
"More than secondary","4.0","0.0","0.8","4.8","194"
"Wealth quintile","","","","",""
"Lowest","17.8","1.6","4.0","21.1","1,235"
"Second","14.9","0.6","3.4","17.5","1,443"
"Middle","10.6","1.1","2.6","13.4","1,279"
"Fourth","10.0","0.4","3.0","12.9","1,064"
"Highest","6.0","0.4","1.6","7.1","1,004"
"Total","12.2","0.9","3.0","14.8","6,025"
"1 Stillbirth, miscarriage, or abortion.2 No education includes informal education (madrassa/duksi/adult education), and more than secondary includes middle-level colleges and universities. Secondary includes individuals who reported vocational training as the highest education level attended.",NA,NA,NA,NA,NA
